,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
162616,191232,20200822,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
173709,203980,20200828,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
184220,215931,20200904,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
195097,228278,20200912,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
206249,240982,20200918,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
215736,251970,20200925,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
227466,264538,20201003,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
237687,276253,20201009,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
248161,288382,20201016,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
258493,300355,20201024,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
268959,312441,20201030,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
279027,324121,20201106,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
288359,335026,20201113,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
298479,346757,20201120,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
307784,357386,20201127,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
318124,368956,20201204,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
327781,379824,20201211,mactickets.evenue.net,https://mactickets.evenue.net/cgi-bin/ncommerce3/SEGetEventInfo?ticketCode=GS%3ARUMAC%3ARAMS19%3ABB15%3A&linkID=rumac&shopperContext=&pc=&caller=&appCode=&groupCode=&cgc=,text/html,application/xhtml+xml,en,"Ryerson University Mattamy Athletic Centre | Online Ticket Office | Online Ticket Office | Sorry Skip to content Ryerson Rams Mattamy Athletic Centre Browser Requirements This site supports the current versions of the browsers listed below. Using older browsers, non-compatible browsers, or disabling browser features (such as Javascript, cookies and SSL), will reduce site functionality. To download a browser, click on one of the following icons. Site Security Browser Requirements Privacy Policy ×",-0.06666666666666668,0.4666666666666667,Negative,Objective
