,index,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content,polarity,subjectivity,polarity_type,subjectivity_type
453883,525908,20210319,ar.pinterest.com,https://ar.pinterest.com/,text/html,text/html,de,Pinterest - Argentina,0.0,0.0,Neutral,Objective
461255,534945,20210326,ar.pinterest.com,https://ar.pinterest.com/,text/html,text/html,de,Pinterest - Argentina,0.0,0.0,Neutral,Objective
479330,556173,20210409,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,de,Pinterest - Argentina,0.0,0.0,Neutral,Objective
487952,566468,20210416,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Argentina Pinterest Today Explore Log in Sign up Privacy,0.0,0.0,Neutral,Objective
496568,576665,20210423,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Argentina Pinterest Today Explore Log in Sign up Pin Builder Privacy,0.0,0.0,Neutral,Objective
505407,587254,20210430,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Argentina Pinterest Today Explore Log in Sign up Pin Builder Privacy,0.0,0.0,Neutral,Objective
514238,597972,20210507,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Argentina Pinterest Today Explore Log in Sign up Pin Builder Privacy,0.0,0.0,Neutral,Objective
523019,608356,20210514,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Argentina Pinterest Today Explore Log in Sign up Pin Builder Privacy,0.0,0.0,Neutral,Objective
531858,618955,20210521,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Argentina Pinterest Today Explore Log in Sign up Pin Builder Privacy,0.0,0.0,Neutral,Objective
540507,629171,20210528,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
549687,639882,20210604,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
558481,650283,20210611,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
566523,660030,20210618,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
570782,665984,20210625,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
574881,671819,20210702,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
579210,677783,20210709,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
583365,683699,20210716,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
587772,689864,20210723,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
591445,695316,20210730,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
595662,701229,20210806,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
600399,707892,20210813,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
605109,714506,20210820,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
609693,720839,20210827,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
613831,726625,20210903,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
617774,732260,20210910,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
622022,738100,20210917,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
626076,743773,20210924,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
630153,749697,20211001,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
634192,755568,20211008,ar.pinterest.com,https://ar.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Argentina Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy",0.12222222222222222,0.34444444444444444,Positive,Objective
